Ortholog Group ID,Drosophila ananassae,Drosophila simulans,Drosophila yakuba,Drosophila suzukii,Drosophila miranda,Drosophila mauritiana,Drosophila sechellia,Drosophila santomea,Drosophila melanogaster
10008at7215,Dana\GF14577,Dsim\GD24048,Dyak\GE21420,LOC108021052,LOC117188691,LOC117142278,Dsec\GM18663,120445459,Cyp303a1
10054at7215,Dana\GF12996,Dsim\GD11885,Dyak\GE14431,LOC108009265,LOC108159111,LOC117135532,Dsec\GM11887,120444284,Adck1
10062at7215,Dana\GF14119,Dsim\GD22283,Dyak\GE26174,LOC108021642,LOC108161321,LOC117149556,Dsec\GM11823,120458275,CYLD
10079at7215,Dana\GF26781,Dsim\GD27319,Dyak\GE28512,LOC108015428,LOC108161826,LOC117151099,LOC116800655,120450586,CG31915
1011at7215,Dana\GF18593,Dsim\GD19264,Dyak\GE25575,LOC108014139,LOC108156624,LOC117143106,Dsec\GM23274,120451832,Dmel\CG14285
10141at7215,Dana\GF10882,Dsim\GD13103,Dyak\GE20458,LOC108013427,LOC108151491,LOC117141315,Dsec\GM13805,120448040,sgl
10149at7215,Dana\GF23546,Dsim\GD13966,Dyak\GE21573;Dyak\GE27797,LOC108012523,LOC108153699,LOC117141601,LOC6611044,120449984,CG8519-RA;Dmel\CG8519
10277at7215,Dana\GF15174,Dsim\GD23082,Dyak\GE17440,LOC108007085,LOC108161767,LOC117150951,Dsec\GM16805,120458950,Tgt
10285at7215,Dana\GF13496,Dsim\GD11041,Dyak\GE13577,LOC108010074,LOC108160314,LOC117136567,Dsec\GM21533,120445858,CG8613;Dmel\CG8613
10291at7215,Dana\GF17321,Dsim\GD19502,Dyak\GE25815,LOC108017137,LOC108155082,LOC117142385,Dsec\GM10506,120451990,Dmel\CG10068
10341at7215,Dana\GF16863,Dsim\GD19951,Dyak\GE11187,LOC108006125,LOC108157290,LOC117144987,Dsec\GM10975,120453221,sgll
10361at7215,Dana\GF17310,Gld,Dyak\Gld,LOC108017141,LOC108155759,LOC117143377,Dsec\Gld,120453208,Gld
10370at7215,Dana\GF18301,Dsim\GD19027,Dyak\GE24315,LOC108018728,LOC108157194,LOC117145871,Dsec\GM24239,120450956,B9d1
10428at7215,Dana\GF22226,Dsim\GD16584,Dyak\GE16231,LOC108016752,LOC108159721,LOC117146734,Dsec\GM19193,120455396,RNA-3'-phosphate cyclase;RNA cyclase;Rtca
10442at7215,Dana\GF15626,Dsim\GD21748,Dyak\GE12644,LOC108016863,LOC108163777,LOC117145812,Dsec\GM17002,120445230,Dpm1
10446at7215,Dana\GF17760,Dsim\GD18282,Dyak\GE10787,LOC108011471,LOC108154790,LOC117142280,LOC6607775,120453383,Wsck
10450at7215,Dana\GF23514,Dsim\GD13934,Dyak\GE21538,LOC108013574,LOC108151935,LOC117139506,LOC6610967,120448140,Dmel\CG13293
10484at7215,Dana\GF14264,Dsim\GD23932,Dyak\GE18690,LOC108016234,LOC108162628,LOC117140287,Dsec\GM15309,120444155,LP05416
104at7215,Dana\GF18713,Dsim\GD18082,Dyak\GE10567,LOC108020161,LOC108156875,LOC117143937,Dsec\GM10110,120452244,Dmel\CG3348
10500at7215,Dana\GF14864,Dsim\GD23002,Dyak\GE16593,LOC108013661,LOC108161847,LOC117150650,Dsec\GM16716,120451303,Gs1
10535at7215,Dana\GF13062,Dsim\GD11773,Dyak\GE14300,LOC108010160,LOC108160120,LOC117136924,Dsec\GM16023,120445680,AIMP3
10539at7215,Dana\GF11750,Dsim\GD11498,Dyak\GE12095,LOC108018071,LOC108160100,LOC117136680,Dsec\GM21999,120444703,Efhc1.2
10573at7215,Dana\GF18769,Dsim\GD18264,Dyak\GE10769,LOC108017282,LOC108154771,LOC117144112,Dsec\GM17779,120452246,Kaz
10585at7215,Dana\GF21296,Dsim\Tbh,Dyak\GE15754,LOC108018944,LOC108165110,LOC117148046,LOC6620197,120456184,Tbh
1060at7215,Dana\GF12345,Dsim\GD15368,Dyak\GE19184,LOC108019741,LOC108158999,LOC117137640,Dsec\GM21016,120443701,LRP1
10616at7215,Dana\GF16539,Dsim\GD19276,Dyak\GE25587,LOC108017557,LOC108156996,LOC117143053,Dsec\GM26828,120452072,Dmel\CG14282
10647at7215,Dana\GF17579,Dsim\GD18880,Dyak\GE26244,LOC108018485,LOC108155996,LOC117143442,Dsec\GM24084,120452054,pic
10664at7215,Dana\GF21031,Dsim\GD16866,Dyak\GE15736,LOC108004776,LOC108165181,LOC117148304,Dsec\GM11974,120456986,CARPA
