Ortholog_Group_ID,Dananassae_Gene,Dananassae_Chromosome,Dananassae_Start,Dananassae_Strand,Dsimulans_Gene,Dsimulans_Chromosome,Dsimulans_Start,Dsimulans_Strand,Dyakuba_Gene,Dyakuba_Chromosome,Dyakuba_Start,Dyakuba_Strand,Dsuzukii_Gene,Dsuzukii_Chromosome,Dsuzukii_Start,Dsuzukii_Strand,Dmiranda_Gene,Dmiranda_Chromosome,Dmiranda_Start,Dmiranda_Strand,Dmauritiana_Gene,Dmauritiana_Chromosome,Dmauritiana_Start,Dmauritiana_Strand,Dsechellia_Gene,Dsechellia_Chromosome,Dsechellia_Start,Dsechellia_Strand,Dsantomea_Gene,Dsantomea_Chromosome,Dsantomea_Start,Dsantomea_Strand,Dmelanogaster_Gene,Dmelanogaster_Chromosome,Dmelanogaster_Start,Dmelanogaster_Strand
11917at7215,LOC6499654,NC_057927.1,10668422,-,LOC6733193,NC_052521.2,3679573,-,LOC6529077,NC_052527.2,20719721,+,LOC108010969,NW_023496808.1,7817067,+,LOC108160484,NC_046676.1,24478698,+,LOC117137507,NC_046668.1,4833293,-,LOC6619156,NC_045950.1,2536915,-,LOC120458697,NC_053016.2,20752524,+,SmydA-5,NT_033778.4,6078641,-
38189at7215,LOC6500280,NC_057927.1,40050,-,LOC6734520,NC_052521.2,11920560,+,LOC6530422,NC_052528.2,13059281,+,LOC108008632,NW_023496807.1,9401593,-,LOC108156986,NC_046675.1,17252105,-,LOC117137832,NC_046668.1,13050576,+,LOC6609186,NC_045950.1,10745348,+,LOC120446656,NC_053017.2,17993930,-,Dmel\CG10139,NT_033778.4,14645270,+
1011at7215,LOC6501365,NC_057927.1,17596540,+,LOC6727503,NC_052523.2,7213078,-,LOC6535636,NC_052530.2,5483936,+,LOC108014139,NW_023496816.1,2185840,-,LOC108156624,NC_046675.1,1869845,+,LOC117143106,NC_046670.1,7959767,-,LOC6620514,NC_045952.1,9592532,-,LOC120451832,NC_053019.2,3731497,+,Dmel\CG14285,NT_033777.3,19025099,+
10616at7215,LOC6499335,NC_057927.1,15476646,-,LOC6727481,NC_052523.2,7060907,-,LOC6535656,NC_052530.2,5634709,+,LOC108017557,NW_023496816.1,2018500,-,LOC108156996,NC_046675.1,32015236,+,LOC117143053,NC_046670.1,7810363,-,LOC6619100,NC_045952.1,9437047,-,LOC120452072,NC_053019.2,3882418,+,Dmel\CG14282,NT_033777.3,19177000,+
11493at7215,LOC6500140,NC_057927.1,2292583,-,LOC6727409,NC_052523.2,6393377,+,LOC6535733,NC_052530.2,6329645,-,LOC108015956,NW_023496816.1,1285286,+,LOC108155179,NC_046675.1,28679315,+,LOC117145921,NC_046670.1,7150743,+,LOC6619032,NC_045952.1,8767428,+,LOC120450864,NC_053019.2,4566578,-,anon-WO02059370.13,NT_033777.3,19862517,-
12225at7215,LOC6499293,NC_057927.1,15931501,-,LOC6727237,NC_052523.2,5135771,-,LOC6535890,NC_052530.2,7620297,+,LOC108014421,NW_023496816.1,3191683,+,LOC108155684,NC_046675.1,21409293,-,LOC117142964,NC_046670.1,5910450,-,LOC6620056,NC_045952.1,7494867,-,LOC120452532,NC_053019.2,5830423,+,Rab11,NT_033777.3,21111408,+
12818at7215,LOC6501238,NC_057927.1,15287898,+,LOC6727464,NC_052523.2,6868352,+,LOC6535678,NC_052530.2,5838406,-,LOC108010752,NW_023496816.1,1803029,+,LOC108155317,NC_046675.1,32230523,-,LOC117142558,NC_046670.1,7619094,+,LOC6619083,NC_045952.1,9247386,+,LOC120454337,NC_053019.2,4083707,-,Dmel\CG3581,NT_033777.3,19373757,-
13352at7215,LOC6501290,NC_057927.1,15944181,+,LOC6727241,NC_052523.2,5150017,+,LOC6535886,NC_052530.2,7606991,-,LOC108019443,NW_023496816.1,3176953,-,LOC108155781,NC_046675.1,32812452,+,LOC117144164,NC_046670.1,5925184,+,LOC6620060,NC_045952.1,7509570,+,LOC120450938,NC_053019.2,5817329,-,Dmel\CG7044,NT_033777.3,21098229,-
14749at7215,LOC6505660,NC_057927.1,27169389,+,LOC6727516,NC_052523.2,7325506,+,LOC6535622,NC_052530.2,5366488,-,LOC108020122,NW_023496816.1,2309525,+,LOC108157467,NC_046675.1,15597450,-,LOC117143123,NC_046670.1,8072377,+,LOC6613707,NC_045952.1,9713276,+,LOC120453284,NC_053019.2,3612292,-,Sgsh,NT_033777.3,18911053,-
14941at7215,LOC6501288,NC_057927.1,15928831,+,LOC27208103,NC_052523.2,5132743,+,LOC6535892,NC_052530.2,7627787,-,LOC108018378,NW_023496816.1,3199337,-,LOC108155683,NC_046675.1,21406098,+,LOC117142963,NC_046670.1,5907693,+,LOC6620054,NC_045952.1,7492124,+,LOC120452867,NC_053019.2,5837253,-,Bdbt,NT_033777.3,21117857,-
