Ortholog Group ID,Drosophila ananassae,Drosophila simulans,Drosophila yakuba,Drosophila suzukii,Drosophila miranda,Drosophila mauritiana,Drosophila sechellia,Drosophila santomea,Drosophila melanogaster
10008at7215,LOC6497399,LOC6732497,LOC6528932,LOC108021052,LOC117188691,LOC117142278,LOC6613679,LOC120445459,Cyp303a1
10054at7215,LOC6495840,LOC6736103,LOC6532088,LOC108009265,LOC108159111,LOC117135532,LOC6618851,LOC120444284,Adck1
10062at7215,LOC6496947,LOC6731772,LOC6528003,LOC108021642,LOC108161321,LOC117149556,LOC6611953,LOC120458275,CYLD
10079at7215,LOC26514190,LOC27207169,LOC26535693,LOC108015428,LOC108161826,LOC117151099,LOC116800655,LOC120450586,CG31915
1011at7215,LOC6501365,LOC6727503,LOC6535636,LOC108014139,LOC108156624,LOC117143106,LOC6620514,LOC120451832,Dmel\CG14285
10141at7215,LOC6493749,LOC6737062,LOC6533246,LOC108013427,LOC108151491,LOC117141315,LOC6611076,LOC120448040,sgl
10149at7215,LOC6506187,LOC6737039,LOC6533223,LOC108012523,LOC108153699,LOC117141601,LOC6611044,LOC120449984,Dmel\CG8519
10277at7215,LOC6497987,LOC6730551,LOC6526402,LOC108007085,LOC108161767,LOC117150951,LOC6617358,LOC120458950,Tgt
10285at7215,LOC6496335,LOC6734466,LOC6530371,LOC108010074,LOC108160314,LOC117136567,LOC6609127,LOC120445858,Dmel\CG8613
10291at7215,LOC6500106,LOC6727046,LOC6536091,LOC108017137,LOC108155082,LOC117142385,LOC6614201,LOC120451990,Dmel\CG10068
10341at7215,LOC6499656,LOC6727130,LOC6539891,LOC108006125,LOC108157290,LOC117144987,LOC6614293,LOC120453221,sgll
10361at7215,LOC6500095,Gld,LOC6536063,LOC108017141,LOC108155759,LOC117143377,LOC6614228,LOC120453208,Gld
10370at7215,LOC6501077,LOC6727950,LOC6537166,LOC108018728,LOC108157194,LOC117145871,LOC6606244,LOC120450956,B9d1
10428at7215,LOC6504890,LOC6724912,LOC6524459,LOC108016752,LOC108159721,LOC117146734,LOC6616080,LOC120455396,Rtca
10442at7215,LOC6498432,LOC6732831,LOC6529726,LOC108016863,LOC108163777,LOC117145812,LOC6614702,LOC120445230,Dpm1
10446at7215,LOC6500543,LOC6729435,LOC6538687,LOC108011471,LOC108154790,LOC117142280,LOC6607775,LOC120453383,Wsck
10450at7215,LOC6506155,LOC6736968,LOC6533155,LOC108013574,LOC108151935,LOC117139506,LOC6610967,LOC120448140,Dmel\CG13293
10484at7215,LOC6497092,LOC6732270,LOC6527565,LOC108016234,LOC108162628,LOC117140287,LOC6611214,LOC120444155,LP05416
104at7215,LOC6501483,LOC27206427,LOC6538273,LOC108020161,LOC108156875,LOC117143937,LOC6617173,LOC120452244,Dmel\CG3348
10500at7215,LOC6497681,LOC27206536,LOC6526256,LOC108013661,LOC108161847,LOC117150650,LOC6617203,LOC120451303,Gs1
10535at7215,LOC6495905,LOC6735895,LOC6531847,LOC108010160,LOC108160120,LOC117136924,LOC6615732,LOC120445680,AIMP3
10539at7215,LOC6494613,LOC6735347,LOC6530838,LOC108018071,LOC108160100,LOC117136680,LOC6610037,LOC120444703,Efhc1.2
10573at7215,LOC6501539,LOC6729475,LOC6538653,LOC108017282,LOC108154771,LOC117144112,LOC6619621,LOC120452246,Kaz
10585at7215,LOC6503980,Dsim\Tbh,LOC6525367,LOC108018944,LOC108165110,LOC117148046,LOC6620197,LOC120456184,Tbh
1060at7215,LOC6495196,LOC6739326,LOC6528555,LOC108019741,LOC108158999,LOC117137640,LOC6608140,LOC120443701,LRP1
10616at7215,LOC6499335,LOC6727481,LOC6535656,LOC108017557,LOC108156996,LOC117143053,LOC6619100,LOC120452072,Dmel\CG14282
10647at7215,LOC6500363,LOC6728266,LOC6536910,LOC108018485,LOC108155996,LOC117143442,LOC6606575,LOC120452054,pic
10664at7215,LOC6503720,LOC6725391,LOC6525402,LOC108004776,LOC108165181,LOC117148304,LOC6620271,LOC120456986,CARPA
10700at7215,LOC6506019,LOC6729104,LOC6537752,LOC108020490,LOC108155400,LOC117143188,LOC6607436,LOC120453742,AP-2mu
10750at7215,LOC6499331,LOC6728771,LOC6536380,LOC108017479,LOC108155463,LOC117144441,LOC6607091,LOC120454496,Dmel\CG9393
10834at7215,LOC6501489,LOC27207937,LOC6538285,LOC108020158,LOC108156651,LOC117144903,LOC6617161,LOC120454288,pll
10840at7215,LOC6497429,LOC6730664,LOC6526521,LOC108008056,LOC108162073,LOC117150349,LOC6613054,LOC120454942,Dmel\CG34174
10883at7215,LOC6501152,LOC6728510,LOC6537435,LOC108010631,LOC108155520,LOC117142851,LOC6606814,LOC120454474,Dmel\CG10898
10894at7215,LOC6497228,LOC27208846,LOC6526564,LOC108005835,LOC108164237,LOC117146249,LOC6613097,LOC120450340,Dmel\CG18641
10898at7215,LOC6497054,LOC6731949,LOC6527244,LOC108009410,LOC108161639,LOC117150594,LOC6612126,LOC120447140,Csl4
